节点总数: 1,777,011
时间步数: 55
时间范围: 0.0000 → 0.9980 s

Part ID               节点数
--------------------------
2000103               404
2000485               396
2000694               393
2000703               393
2000793               392
2000803               392
2000953               391
2000990               391
2000958               388
2000995               388
2000113               384
2000107               382
2000143               382
2000057               379
2000492               378
2000141               374
2000165               374
2000581               368
2000623               368
2000531               366
2000128               365
2000053               364
2000097               360
2000423               357
2000018               356
2000091               351
2000046               345
2000471               342
2000127               340
2000960               339
2000997               339
2000058               338
2000504               322
2000111               321
2000507               316
2000514               316
2000518               313
2000522               313
2000493               312
2000112               310
2000227               306
2000978               306
2000920               303
2000201               300
2000228               300
2000202               299
2000229               299
2000755               297
2000759               297
2000780               297
2000784               297
2000198               296
2000022               293
2000067               291
2000118               291
2000378               291
2000377               286
2000379               286
2000056               285
2000134               285
2000114               282
2000072               280
2000117               280
2000001               279
2000602               279
2000116               277
2000081               275
2000965               275
2001102               275
2000482               274
2000477               273
2000472               271
2000684               270
2000704               270
2000284               269
2000300               269
2000344               269
2000147               268
2000301               268
2000049               266
2000167               266
2001115               266
2000060               262
2000208               258
2000038               255
2000277               255
2000790               254
2000800               254
2000295               253
2000359               253
2000470               252
2000428               251
2000094               248
2000337               248
2000494               247
2000126               244
2000487               244
2000115               243
2000278               239
2000131               237
2000457               237
2000680               237
2000681               237
2000361               234
2000179               230
2000409               230
2000264               229
2000683               229
2000731               229
2000338               227
2000741               226
2000767               226
2000678               224
2000679               224
2000825               224
2000310               223
2000633               223
2000792               221
2000802               221
2000071               219
2000210               219
2000552               219
2000553               219
2000170               218
2000455               218
2000161               217
2000740               217
2000766               217
2000536               216
2000537               216
2000538               216
2000539               216
2000540               216
2000541               216
2000542               216
2000543               216
2000544               216
2000555               216
2000556               216
2000557               216
2000468               213
2000104               211
2000140               211
2000199               210
2000231               210
2000483               210
2000061               209
2000133               209
2000195               209
2000200               209
2000232               209
2000034               208
2000591               204
2000954               204
2000991               204
2000466               200
2000257               199
2000319               199
2000748               199
2000773               199
2000032               198
2000285               198
2000345               198
2000251               197
2000974               195
2000191               193
2000224               193
2000820               192
2000968               192
2000984               192
2001105               192
2000463               191
2000109               190
2000226               190
2000052               189
2000062               189
2000085               189
2000073               187
2000051               184
2000035               182
2000193               182
2000102               181
2000682               181
2000730               181
2000798               180
2000976               179
2000036               178
2000077               177
2000923               174
2000356               173
2000400               173
2000422               173
2000312               172
2000635               172
2000230               170
2000197               168
2000150               165
2000206               163
2000293               163
2000204               160
2000739               158
2000765               158
2000110               156
2000908               156
2000309               155
2000632               155
2000737               155
2000763               155
2000959               155
2000996               155
2000028               154
2000480               154
2000419               152
2000909               152
2000364               151
2000388               151
2000424               151
